"","activo","fallecido","n/a","recuperado"
"ANTIOQUIA",16937,4524,431,222831
"ATLANTICO",2938,3331,334,81006
"SANTAFE DE BOGOTA D.C",30166,9224,1030,389778
"BOLIVAR",1834,1009,103,44357
"BOYACA",1648,560,74,23819
"CALDAS",2060,585,121,27363
"CAQUETA",809,510,65,13065
"CAUCA",1116,481,79,15792
"CESAR",1657,967,110,29493
"CORDOBA",867,1669,194,26385
"CUNDINAMARCA",3439,1588,185,56266
"CHOCO",120,168,26,4436
"HUILA",926,1065,71,31005
"LA GUAJIRA",589,528,23,12362
"MAGDALENA",998,1033,93,21023
"META",1003,699,87,30015
"NARIÑO",1891,915,91,26009
"NORTE DE SANTANDER",2531,1763,101,32482
"QUINDIO",1565,574,29,19264
"RISARALDA",2886,683,73,26456
"SANTANDER",4008,2238,157,55772
"SUCRE",458,670,62,15979
"TOLIMA",2518,1118,101,34661
"VALLE DEL CAUCA",6817,4007,406,115478
"ARAUCA",163,129,13,4156
"CASANARE",466,166,14,7566
"PUTUMAYO",413,235,17,4913
"ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA",45,36,3,2320
"AMAZONAS",21,124,3,3049
"GUAINIA",4,19,2,1200
"GUAVIARE",32,36,3,1852
"VAUPES",1,12,1,1113
"VICHADA",19,14,0,1074
